sous_categorie,sid_sous_categorie
thunderstorm with light rain,201
thunderstorm with rain,202
thunderstorm with heavy rain,203
light thunderstorm,204
thunderstorm,205
heavy thunderstorm,206
ragged thunderstorm,207
thunderstorm with light drizzle,208
thunderstorm with drizzle,209
thunderstorm with heavy drizzle,210
light intensity drizzle,301
drizzle,302
heavy intensity drizzle,303
light intensity drizzle rain,304
drizzle rain,305
heavy intensity drizzle rain,306
shower rain and drizzle,307
heavy shower rain and drizzle,308
shower drizzle,309
light rain,501
moderate rain,502
heavy intensity rain,503
very heavy rain,504
extreme rain,505
freezing rain,506
light intensity shower rain,507
shower rain,508
heavy intensity shower rain,509
ragged shower rain,510
light snow,601
snow,602
heavy snow,603
sleet,604
light shower sleet,605
shower sleet,606
light rain and snow,607
rain and snow,608
light shower snow,609
shower snow,610
heavy shower snow,611
mist,701
smoke,702
haze,703
sand/dust whirls,704
fog,705
sand,706
dust,707
volcanic ash,708
squalls,709
tornado,710
clear sky,801
few clouds,901
scattered clouds,902
broken clouds,903
overcast clouds,904
